XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.92960859,40.67009288,8969,1001,3,Brooklyn,034900,30349001001,2158.039106,237583.939270,360470349001001
-73.98005410,40.57403289,8970,1001,3,Brooklyn,035200,30352001001,1616.509489,123869.071344,360470352001001
-73.96762756,40.58361779,8971,1001,3,Brooklyn,035400,30354001001,1471.572410,65180.048586,360470354001001
-73.93036544,40.66472238,8972,1001,3,Brooklyn,035500,30355001001,1892.971670,207370.559504,360470355001001
-73.97088836,40.57728993,8973,1001,3,Brooklyn,035602,30356021001,1474.397268,120842.588069,360470356021001
-73.92683748,40.66994090,8974,1001,3,Brooklyn,035700,30357001001,2156.173922,237237.022313,360470357001001
-73.92373173,40.67243517,8975,1001,3,Brooklyn,035900,30359001001,2290.259550,266854.231617,360470359001001
-73.96807800,40.57569640,8976,1001,3,Brooklyn,036001,30360011001,1563.904647,147229.980922,360470360011001
-73.96088271,40.57679946,8977,1001,3,Brooklyn,036002,30360021001,1842.082903,157748.116182,360470360021001
-73.91880039,40.67044529,8978,1001,3,Brooklyn,036100,30361001001,1997.343326,173782.020107,360470361001001
-73.96078587,40.57913967,8979,1001,3,Brooklyn,036200,30362001001,1375.031179,84582.178392,360470362001001
-73.91302519,40.67281661,8980,1001,3,Brooklyn,036300,30363001001,1963.907200,170838.930400,360470363001001
-73.96137792,40.58134370,8981,1001,3,Brooklyn,036400,30364001001,998.411849,61270.283193,360470364001001
-73.91249965,40.67445169,8982,1001,3,Brooklyn,036501,30365011001,2109.140653,219000.930827,360470365011001
-73.90492013,40.67564503,8983,1001,3,Brooklyn,036502,30365021001,1952.315146,196545.288395,360470365021001
-73.96329935,40.58441527,8984,1001,3,Brooklyn,036600,30366001001,2233.643707,108034.812683,360470366001001
-73.90289260,40.67744240,8985,1001,3,Brooklyn,036700,30367001001,1011.059078,64484.767170,360470367001001
-73.90732605,40.68030602,8986,1001,3,Brooklyn,036900,30369001001,1937.695662,174791.621238,360470369001001
-73.96310956,40.59025742,8987,1001,3,Brooklyn,037000,30370001001,2083.558337,203177.341740,360470370001001
-73.91557777,40.68162928,8988,1001,3,Brooklyn,037100,30371001001,2029.272665,201001.842832,360470371001001
-73.91754560,40.68669246,8989,1001,3,Brooklyn,037300,30373001001,889.160878,38565.349436,360470373001001
-73.96770849,40.58975140,8990,1001,3,Brooklyn,037401,30374011001,2076.534526,202770.976531,360470374011001
-73.97233642,40.58923237,8991,1001,3,Brooklyn,037402,30374021001,2071.646662,200798.360067,360470374021001
-73.91959818,40.68657466,8992,1001,3,Brooklyn,037500,30375001001,1877.998239,97732.691063,360470375001001
-73.92185133,40.68540653,8993,1001,3,Brooklyn,037700,30377001001,2029.882019,200986.822449,360470377001001
-73.92113665,40.68173805,8994,1001,3,Brooklyn,037900,30379001001,2047.947825,202803.802842,360470379001001
-73.92423659,40.68213305,8995,1001,3,Brooklyn,038100,30381001001,2373.671979,249516.101592,360470381001001
-73.98254496,40.59027366,8996,1001,3,Brooklyn,038200,30382001001,2079.314463,202863.513429,360470382001001
-73.92497853,40.68560358,8997,1001,3,Brooklyn,038300,30383001001,1901.489121,107016.691936,360470383001001
-73.92864669,40.68837486,8998,1001,3,Brooklyn,038500,30385001001,2180.170386,221432.006209,360470385001001
